Year,GeoCode,Value
2000,,33.9
2001,,0.0
2002,,0.0
2003,,0.0
2004,,0.0
2005,,0.0
2006,,0.0
2007,,0.0
2008,,36.5
2009,,37.2
2010,,37.6
2011,,37.7
2012,,37.5
2013,,37.8
2014,,38.2
2015,,38.4
2016,,38.8
2017,,0.0
2000,0400000US01,0.0
2001,0400000US01,0.0
2002,0400000US01,0.0
2003,0400000US01,0.0
2004,0400000US01,0.0
2005,0400000US01,33.2
2006,0400000US01,37.7
2007,0400000US01,33.3
2008,0400000US01,36.4
2009,0400000US01,35.9
2010,0400000US01,36.6
2011,0400000US01,36.8
2012,0400000US01,34.9
2013,0400000US01,37.2
2014,0400000US01,38.0
2015,0400000US01,36.8
2016,0400000US01,37.9
2017,0400000US01,0.0
2000,0400000US34,0.0
2001,0400000US34,0.0
2002,0400000US34,0.0
2003,0400000US34,0.0
2004,0400000US34,0.0
2005,0400000US34,34.0
2006,0400000US34,33.9
2007,0400000US34,35.7
2008,0400000US34,36.3
2009,0400000US34,34.5
2010,0400000US34,36.5
2011,0400000US34,37.3
2012,0400000US34,35.7
2013,0400000US34,37.8
2014,0400000US34,36.8
2015,0400000US34,36.1
2016,0400000US34,38.6
2017,0400000US34,0.0
2000,0400000US11,0.0
2001,0400000US11,0.0
2002,0400000US11,0.0
2003,0400000US11,0.0
2004,0400000US11,0.0
2005,0400000US11,49.1
2006,0400000US11,50.6
2007,0400000US11,47.9
2008,0400000US11,46.3
2009,0400000US11,47.2
2010,0400000US11,48.6
2011,0400000US11,51.5
2012,0400000US11,44.0
2013,0400000US11,44.8
2014,0400000US11,46.0
2015,0400000US11,48.4
2016,0400000US11,46.6
2017,0400000US11,0.0
2000,0400000US28,0.0
2001,0400000US28,0.0
2002,0400000US28,0.0
2003,0400000US28,0.0
2004,0400000US28,0.0
2005,0400000US28,34.1
2006,0400000US28,37.1
2007,0400000US28,32.5
2008,0400000US28,37.5
2009,0400000US28,37.3
2010,0400000US28,38.9
2011,0400000US28,38.4
2012,0400000US28,36.7
2013,0400000US28,40.5
2014,0400000US28,38.6
2015,0400000US28,37.3
2016,0400000US28,41.7
2017,0400000US28,0.0
2000,0400000US47,0.0
2001,0400000US47,0.0
2002,0400000US47,0.0
2003,0400000US47,0.0
2004,0400000US47,0.0
2005,0400000US47,34.6
2006,0400000US47,33.4
2007,0400000US47,35.0
2008,0400000US47,34.1
2009,0400000US47,38.2
2010,0400000US47,38.6
2011,0400000US47,38.2
2012,0400000US47,36.3
2013,0400000US47,39.3
2014,0400000US47,37.3
2015,0400000US47,37.9
2016,0400000US47,40.4
2017,0400000US47,0.0
2000,0400000US05,0.0
2001,0400000US05,0.0
2002,0400000US05,0.0
2003,0400000US05,0.0
2004,0400000US05,0.0
2005,0400000US05,36.4
2006,0400000US05,31.8
2007,0400000US05,33.3
2008,0400000US05,34.7
2009,0400000US05,32.5
2010,0400000US05,37.6
2011,0400000US05,35.7
2012,0400000US05,39.9
2013,0400000US05,35.5
2014,0400000US05,36.4
2015,0400000US05,39.1
2016,0400000US05,38.8
2017,0400000US05,0.0
2000,0400000US55,0.0
2001,0400000US55,0.0
2002,0400000US55,0.0
2003,0400000US55,0.0
2004,0400000US55,0.0
2005,0400000US55,33.8
2006,0400000US55,33.5
2007,0400000US55,34.5
2008,0400000US55,34.5
2009,0400000US55,35.6
2010,0400000US55,36.4
2011,0400000US55,36.6
2012,0400000US55,37.9
2013,0400000US55,36.3
2014,0400000US55,37.7
2015,0400000US55,36.8
2016,0400000US55,37.3
2017,0400000US55,0.0
2000,0400000US19,0.0
2001,0400000US19,0.0
2002,0400000US19,0.0
2003,0400000US19,0.0
2004,0400000US19,0.0
2005,0400000US19,27.5
2006,0400000US19,29.2
2007,0400000US19,28.7
2008,0400000US19,31.6
2009,0400000US19,32.5
2010,0400000US19,31.4
2011,0400000US19,31.8
2012,0400000US19,29.3
2013,0400000US19,33.2
2014,0400000US19,33.3
2015,0400000US19,32.2
2016,0400000US19,34.1
2017,0400000US19,0.0
2000,0400000US09,0.0
2001,0400000US09,0.0
2002,0400000US09,0.0
2003,0400000US09,0.0
2004,0400000US09,0.0
2005,0400000US09,35.2
2006,0400000US09,36.1
2007,0400000US09,36.3
2008,0400000US09,34.2
2009,0400000US09,35.4
2010,0400000US09,35.9
2011,0400000US09,36.2
2012,0400000US09,36.0
2013,0400000US09,37.1
2014,0400000US09,36.1
2015,0400000US09,38.6
2016,0400000US09,37.8
2017,0400000US09,0.0
2000,0400000US16,0.0
2001,0400000US16,0.0
2002,0400000US16,0.0
2003,0400000US16,0.0
2004,0400000US16,0.0
2005,0400000US16,29.5
2006,0400000US16,30.4
2007,0400000US16,31.2
2008,0400000US16,28.5
2009,0400000US16,33.0
2010,0400000US16,34.0
2011,0400000US16,29.0
2012,0400000US16,33.3
2013,0400000US16,29.8
2014,0400000US16,35.1
2015,0400000US16,36.4
2016,0400000US16,31.1
2017,0400000US16,0.0
2000,0400000US25,0.0
2001,0400000US25,0.0
2002,0400000US25,0.0
2003,0400000US25,0.0
2004,0400000US25,0.0
2005,0400000US25,38.5
2006,0400000US25,37.3
2007,0400000US25,39.2
2008,0400000US25,38.4
2009,0400000US25,38.8
2010,0400000US25,39.8
2011,0400000US25,40.2
2012,0400000US25,40.1
2013,0400000US25,41.5
2014,0400000US25,42.1
2015,0400000US25,42.4
2016,0400000US25,41.5
2017,0400000US25,0.0
2000,0400000US72,0.0
2001,0400000US72,0.0
2002,0400000US72,0.0
2003,0400000US72,0.0
2004,0400000US72,0.0
2005,0400000US72,38.6
2006,0400000US72,38.2
2007,0400000US72,46.2
2008,0400000US72,41.1
2009,0400000US72,46.8
2010,0400000US72,37.2
2011,0400000US72,43.2
2012,0400000US72,43.5
2013,0400000US72,47.5
2014,0400000US72,48.6
2015,0400000US72,48.7
2016,0400000US72,52.9
2017,0400000US72,0.0
2000,0400000US10,0.0
2001,0400000US10,0.0
2002,0400000US10,0.0
2003,0400000US10,0.0
2004,0400000US10,0.0
2005,0400000US10,35.2
2006,0400000US10,37.5
2007,0400000US10,43.1
2008,0400000US10,38.0
2009,0400000US10,39.2
2010,0400000US10,40.5
2011,0400000US10,37.6
2012,0400000US10,44.1
2013,0400000US10,43.0
2014,0400000US10,45.4
2015,0400000US10,42.5
2016,0400000US10,42.2
2017,0400000US10,0.0
2000,0400000US37,0.0
2001,0400000US37,0.0
2002,0400000US37,0.0
2003,0400000US37,0.0
2004,0400000US37,0.0
2005,0400000US37,34.2
2006,0400000US37,36.2
2007,0400000US37,35.0
2008,0400000US37,36.5
2009,0400000US37,38.1
2010,0400000US37,39.0
2011,0400000US37,37.6
2012,0400000US37,39.5
2013,0400000US37,38.8
2014,0400000US37,38.1
2015,0400000US37,39.4
2016,0400000US37,39.2
2017,0400000US37,0.0
2000,0400000US35,0.0
2001,0400000US35,0.0
2002,0400000US35,0.0
2003,0400000US35,0.0
2004,0400000US35,0.0
2005,0400000US35,41.3
2006,0400000US35,36.7
2007,0400000US35,40.0
2008,0400000US35,39.5
2009,0400000US35,39.6
2010,0400000US35,40.4
2011,0400000US35,39.9
2012,0400000US35,42.3
2013,0400000US35,40.4
2014,0400000US35,38.4
2015,0400000US35,41.7
2016,0400000US35,41.7
2017,0400000US35,0.0
2000,0400000US53,0.0
2001,0400000US53,0.0
2002,0400000US53,0.0
2003,0400000US53,0.0
2004,0400000US53,0.0
2005,0400000US53,34.5
