Year,Units,Value
2010,Animal genetic resources,
2011,Animal genetic resources,
2012,Animal genetic resources,
2013,Animal genetic resources,
2014,Animal genetic resources,
2015,Animal genetic resources,
2016,Animal genetic resources,
2017,Animal genetic resources,28
2018,Animal genetic resources,
2010,Plant genetic resources,
2011,Plant genetic resources,
2012,Plant genetic resources,
2013,Plant genetic resources,
2014,Plant genetic resources,174266
2015,Plant genetic resources,
2016,Plant genetic resources,174405
2017,Plant genetic resources,177387
2018,Plant genetic resources,
