Year,Units,display,sex,Value
2000,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,184.3
2001,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,179
2002,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,177
2003,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,173.2
2004,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,166.4
2005,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,164.7
2006,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,159.2
2007,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,157.9
2008,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,158.8
2009,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,157.4
2010,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,155.4
2011,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,157.1
2012,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,152.9
2013,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,155.8
2014,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,149.1
2015,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,153
2016,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,
2017,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,women,
2030,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",target,women,100
2000,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,381.8
2001,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,366.5
2002,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,360
2003,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,355.5
2004,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,337.3
2005,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,329.4
2006,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,318.4
2007,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,312.9
2008,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,307.8
2009,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,304.8
2010,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,300.6
2011,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,298.7
2012,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,292.3
2013,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,291.9
2014,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,281.2
2015,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,288.1
2016,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,
2017,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",time series,men,
2030,"premature mortality (deaths per 100,000 population below the age of 70 (excluding those under 1 year of age))",target,men,190
