Year,Units,Value
2010,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),15.479
2011,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),15.796
2012,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),16.569
2013,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),17.376
2014,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),17.689
2015,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),17.795
2016,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),19.279
2017,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),20.672
2018,Goverment spending on environmental protection (COFOG section 5) (Bn EUR),22.021
2010,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",20.992
2011,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",21.550
2012,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",20.681
2013,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",29.030
2014,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",30.520
2015,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",31.142
2016,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",32.285
2017,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",33.277
2018,"Goverment spending on recreation, culture and religion (COFOG section 8) (Bn EUR)",34.961
