Year,Units,timeseries,Value
2010,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",2346.8
2011,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",2179.1
2012,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",1765.7
2013,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",2381.2
2014,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",3336.5
2015,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",4222.9
2016,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",3653.7
2017,2016,"oda (gross disbursements) to infrastructure (mn usd, constant prices",3320.2
2010,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",2814.1
2011,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",2543.2
2012,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",2296.0
2013,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",2725.0
2014,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",3715.0
2015,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",4334.6
2016,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",3869.0
2017,2016,"oda and oof (gross disbursements) to infrastructure (mn usd, constant prices",3573.8
